"Geo","Vio","Actual incidents","Rate Per 100,000","Adults charged","Youth charged"
"London, Ontario","Total mischief",4983.00,1052.66,232.00,127.00
"London, Ontario","Other prostitution",16.00,3.38,15.00,0.00
"London, Ontario","Conspire to commit murder",0.00,0.00,0.00,0.00
"London, Ontario","Total other assaults",48.00,10.14,27.00,0.00
"London, Ontario","Impaired operation, causing bodily harm",10.00,2.11,10.00,0.00
"London, Ontario","Other Controlled Drugs and Substances Act, possession",112.00,23.66,36.00,14.00
"London, Ontario","Total, all violations",41787.00,8827.56,8171.00,2750.00
"London, Ontario","Canada Shipping Act",0,0,0,0
"London, Ontario","Cannabis, production",150.00,31.69,70.00,2.00
"London, Ontario","Total theft under $5,000 (non-motor vehicle)",12999.00,2746.05,847.00,631.00
"London, Ontario","Income Tax Act",0.00,0.00,0.00,0.00
"London, Ontario","Gaming house",0,0,0,0
"London, Ontario","Obstruct public or peace officer",52.00,10.99,35.00,0.00
"London, Ontario","Heroin, trafficking",1.00,0.21,0.00,0.00
"London, Ontario","Other violations related to gaming and betting",2.00,0.42,3.00,0.00
"London, Ontario","Total drug violations",1013.00,214.00,552.00,112.00
"London, Ontario","Cannabis, importation and exportation",2.00,0.42,5.00,0.00
"London, Ontario","Forcible confinement or kidnapping",12.00,2.54,13.00,1.00
"London, Ontario","Total, possession, other Controlled Drugs and Substances Act drugs",115.00,24.29,36.00,14.00
"London, Ontario","Theft over $5,000 from a motor vehicle",257.00,54.29,8.00,3.00
"London, Ontario","Cocaine, trafficking",48.00,10.14,62.00,3.00
"London, Ontario","Total, all Criminal Code violations (excluding traffic)",38203.00,8070.43,6338.00,2419.00
"London, Ontario","Total robbery",272.00,57.46,68.00,33.00
"London, Ontario","Total other violations",575.00,121.47,155.00,26.00
"London, Ontario","Total assaults against a peace officer",118.00,24.93,89.00,12.00
"London, Ontario","Intimidation of a justice system participant or a journalist",0,0,0,0
"London, Ontario","Obtains or communicates with a person under age 18 for purpose of sex",1.00,0.21,1.00,0.00
"London, Ontario","Total fail to stop or remain",981.00,207.24,38.00,0.00
"London, Ontario","Disturb the peace",540.00,114.08,64.00,17.00
"London, Ontario","Total forcible confinement or kidnapping",12.00,2.54,13.00,1.00
"London, Ontario","Hostage-taking",0.00,0.00,0.00,0.00
"London, Ontario","Total theft over $5,000 (non-motor vehicle)",775.00,163.72,27.00,13.00
"London, Ontario","Explosives causing death or bodily harm",0.00,0.00,0.00,0.00
"London, Ontario","Total Immigration and Refugee Protection Act",5.00,1.06,3.00,0.00
"London, Ontario","Abduction under age 14, by parent or guardian",4.00,0.85,3.00,0.00
"London, Ontario","Total impaired driving",1023.00,216.11,954.00,0.00
"London, Ontario","Willful and forbidden acts in respect of certain property (Part XI Criminal Code)",17.00,3.59,3.00,1.00
"London, Ontario","Escape or helps to escape from lawful custody",89.00,18.80,30.00,48.00
"London, Ontario","Offensive weapons, restricted",3.00,0.63,1.00,0.00
"London, Ontario","Other offensive weapons",25.00,5.28,3.00,1.00
"London, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0
"London, Ontario","Unsafe storage of firearms",45.00,9.51,16.00,0.00
"London, Ontario","Uttering threats",958.00,202.38,258.00,61.00
"London, Ontario","Murder, second degree",3.00,0.63,4.00,2.00
"London, Ontario","Fraud",1325.00,279.91,476.00,39.00
"London, Ontario","Shoplifting over $5,000",7.00,1.48,1.00,1.00
"London, Ontario","Total prostitution",47.00,9.93,137.00,1.00
"London, Ontario","Theft over $5,000",511.00,107.95,18.00,9.00
"London, Ontario","Total weapons violations",272.00,57.46,92.00,29.00
"London, Ontario","Excise Act",7.00,1.48,2.00,0.00
"London, Ontario","Total other Criminal Code violations",4122.00,870.78,2039.00,564.00
"London, Ontario","Firearms and other offensive weapons (Part III Criminal Code)",1.00,0.21,0.00,0.00
"London, Ontario","Firearms Act",9.00,1.90,10.00,1.00
"London, Ontario","Arson, disregard for human life",1.00,0.21,0.00,0.00
"London, Ontario","Total possession of stolen property",400.00,84.50,187.00,87.00
"London, Ontario","Abduction under the age 14 contravening a custody order",3.00,0.63,2.00,0.00
"London, Ontario","Dangerous operation of motor vehicle evading police",0,0,0,0
"London, Ontario","Total other Criminal Code traffic violations",1226.00,258.99,258.00,0.00
"London, Ontario","Total Criminal Code traffic violations",2249.00,475.10,1212.00,0.00
"London, Ontario","Attempted murder",5.00,1.06,15.00,0.00
"London, Ontario","Fraudulent transactions relating to contracts and trade (Part X Criminal Code)",9.00,1.90,1.00,0.00
"London, Ontario","Fail to comply with order",1392.00,294.06,890.00,286.00
"London, Ontario","Counterfeiting",12.00,2.54,3.00,0.00
"London, Ontario","Invasion of privacy (Part VI Criminal Code)",1.00,0.21,0.00,0.00
"London, Ontario","Homicide",5.00,1.06,4.00,2.00
"London, Ontario","Assault, level 1",2614.00,552.21,1114.00,374.00
"London, Ontario","Sexual assault, level 3, aggravated",1.00,0.21,1.00,0.00
"London, Ontario","Sexual interference",0.00,0.00,0.00,0.00
"London, Ontario","Impaired operation, failure to provide breath sample",43.00,9.08,38.00,0.00
"London, Ontario","Competition Act",0,0,0,0
